Type,ID,Label,LDX,Cleaning,Sr/Ca [mmol/mol],Ba/Ca [umol/mol],U/Ca [nmol/mol],Na_Ca [mmol/mol],Mg_Ca [mmol/mol],Mn_Ca [umol/mol],Fe_Ca [umol/mol],Al_Ca [umol/mol],Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Sed Trap,250515_MC_22,11-3,,na,0.761821684251687,49.07502307008035,139.64951763061828,,,,,,,,,,,,,,,,,,,,
Sed Trap,250515_MC_23,11-4,,na,0.890733259780863,26.297978147991028,83.55503013252977,52.63523634229642,0.4801222216136771,13.560878679756133,159.00437811922646,201.55003627239822,,,,,,,,,,,,,,,
Sed Trap,250515_MC_24,13-3,,na,0.9341178063649817,7.077587154763515,65.93276135916489,86.74814777131776,0.7846615251531138,7.3467092504809255,136.35039159596252,174.50818201290463,,,,,,,,,,,,,,,
Sed Trap,250515_MC_26,12-1,,na,0.8936614620462698,16.726709874350476,181.52054191546878,43.197281943272245,0.33262348710927125,11.767537332380073,21.7520704421615,26.35388477015741,,,,,,,,,,,,,,,
Sed Trap,250515_MC_27,12-2,,na,0.8808494854358517,28.204916533395153,289.46023750181877,53.7056453097632,0.44298927093214113,11.393132915155682,41.78102589694803,111.76200703682701,,,,,,,,,,,,,,,
Sed Trap,250515_MC_30,6-7,,na,0.8653680214521509,20.795897804959665,61.3363382322696,77.7766819894831,0.3288787046070683,21.817958441671976,63.69445790901546,121.65943856354582,,,,,,,,,,,,,,,
Sed Trap,250515_MC_31,6-5,,na,0.9162235079877068,24.545744470135475,61.93777956310437,173.8984738304956,1.0827120164312798,19.31527498192806,136.73734233042214,156.07035135394165,,,,,,,,,,,,,,,
Sed Trap,250515_MC_32,6-9,,na,0.8763828636338783,12.79266909986408,44.38372481503403,48.06312411953186,0.25528721534446464,27.042002636147195,16.096262547244134,35.59216688155079,,,,,,,,,,,,,,,
Sed Trap,250515_MC_33,4-6,,na,0.8294399459226335,9.153155130047553,32.17387304575898,103.26174930766932,0.22714613772822062,9.978557930347668,9.80859808965996,20.53917049604224,,,,,,,,,,,,,,,
Sed Trap,250515_MC_35,13-6,,na,1.0131888115815226,15.618540947397582,131.6108706220471,41.18692741298365,0.6411949448470634,10.685825516912322,107.18206794110587,143.0875349723395,,,,,,,,,,,,,,,
Sed Trap,250515_MC_38,11-9,,na,1.029700689141007,13.487810021148949,180.02756940358057,52.98252868378694,0.7035539400438565,11.93170823525852,110.58649355921455,93.97251803199912,,,,,,,,,,,,,,,
Sed Trap,250515_MC_39,7-5,,na,0.9391975658440775,22.187098222622993,232.81284658384095,40.85001581750439,0.6683660866061242,25.3112561871514,70.14054515144807,70.28089972191026,,,,,,,,,,,,,,,
Sed Trap,250515_MC_40,7-10,,na,0.8382539640627119,79.56537208208334,310.5840984933038,51.97966949576584,1.187180700809771,51.78256314250304,386.60748366088694,588.2606457510531,,,,,,,,,,,,,,,
Sed Trap,250515_MC_41,7-8,,na,0.9043128541018852,27.000145839646486,184.55978829978042,35.304299846378434,0.6219108246646426,16.860920307063587,46.7958548160343,183.7360895710282,,,,,,,,,,,,,,,
Sed Trap,250515_MC_42,7-7,,na,0.9061923344716378,60.27840769238239,289.4889399592572,92.39884571745011,0.7166642202721922,18.511438084366794,68.82970682346678,106.88888921316737,,,,,,,,,,,,,,,
Sed Trap,250515_MC_43,6-15,,na,0.9569304872389551,17.080523833436768,73.1569404470015,29.573130556837636,0.3797858517718064,16.380057403292973,38.34186106960946,66.97128896449189,,,,,,,,,,,,,,,
Sed Trap,250515_MC_44,6-14,,na,0.9162122439738178,25.058629677997317,68.78849001742634,58.70602235448551,0.48295423573591645,17.003137623904195,108.40397354403991,103.39171008586746,,,,,,,,,,,,,,,
Sed Trap,250515_MC_45,6-11,,na,0.9613362711218025,18.017795753185347,92.87960077897864,43.978994852749935,0.43728866100165364,19.323630536464208,59.86414059633197,1135.9102008285563,,,,,,,,,,,,,,,
